"Регулировка мощности";"Вес";"Уровень шума";"Тип инфракрасного обогревателя";"Уровни мощности";"Защитные функции";"Установка тепловой завесы";"Изображение";"Термостат";"Количество секций";"Максимальный воздухообмен";"Наименование";"Габариты (ШхВхГ)";"Тип";"Напряжение";"Поворот корпуса";"Удобство использования";"Потребляемая энергия";"Тип нагревательного элемента";"Вентиляция без нагрева";"Дополнительная информация";"Каминный эффект";"Ионизатор";"Цена";"Управление";"Пылевой фильтр";"Увлажнитель";"Варианты монтажа";"Площадь обогрева";"Максимальный нагрев поверхности";"Вентилятор";"Мощность обогрева";"Таймер"
"есть";1.2;0;"кварцевый";"1800/1200/600 Вт";"влагозащитный корпус";"";"aegiwq-180.jpg";"нет";"";"";"AEG IWQ 180";"61x17.5x10 см";"инфракрасный";"220/230 В";"";"";0;"";"";"корпус можно наклонять в пределах 45 градусов для для оптимального распределения тепла.";"";"";2300;"механическое, регулировка температуры, выключатель со световым индикатором";"";"";"";12;"";"";0;"нет"
"";0.0;0;"";"";"защита от мороза, отключение при перегреве, влагозащитный корпус";"";"aegkle-1002.jpg";"есть";"";"";"AEG KLE 1002";"111x25x7.8 см";"конвектор";"220/230 В";"";"";0;"";"";"несколько режимов работы";"";"";0;"регулировка температуры";"";"";"настенный";0;"";"";1000;"нет"
"";0.0;0;"";"";"защита от мороза, отключение при перегреве, влагозащитный корпус";"";"aegkle-502.jpg";"есть";"";"";"AEG KLE 502";"66.5x25x7.8 см";"конвектор";"220/230 В";"";"";0;"";"";"несколько режимов работы";"";"";6800;"регулировка температуры";"";"";"настенный";0;"";"";500;"нет"
"есть";0.0;0;"";"2000/1250/750 Вт";"отключение при перегреве";"";"aegsk-204.jpg";"есть";"";"";"AEG SK 204";"60x44x11 см";"конвектор";"";"";"";0;"";"";"";"";"";2900;"механическое, регулировка температуры";"";"";"настенный, напольный";20;"";"";0;"нет"
"есть";4.5;0;"";"2000/1000 Вт";"отключение при перегреве";"";"aegsk-204-t.jpg";"есть";"";"";"AEG SK 204 T";"60x44x11 см";"конвектор";"";"";"";0;"";"";"";"";"";3700;"механическое, регулировка температуры";"";"";"настенный, напольный";20;"";"есть";0;"нет"
"";0.0;0;"";"";"влагозащитный корпус";"";"aegvh-211.jpg";"";"";"";"AEG VH 211";"27.6x40x11.5 см";"термовентилятор";"220/230 В";"";"";0;"";"";"";"";"";4500;"механическое, регулировка температуры";"";"";"настенный";0;"";"есть";2000;"нет"
"";4.6;0;"";"";"защита от мороза, отключение при перегреве, отключение при опрокидывании, влагозащитный корпус";"";"aegwkl-1003-f.jpg";"есть";"";"";"AEG WKL 1003 F";"44.5x45x7.8 см";"конвектор";"220/230 В";"";"колесики";0;"ТЭН";"";"";"";"";3900;"регулировка температуры, выключатель со световым индикатором";"";"";"настенный, напольный";10;"60 - 100°С";"";1000;"нет"
"";4.2;0;"";"";"отключение при перегреве";"";"aegwkl-1003-s.jpg";"есть";"";"";"AEG WKL 1003 S";"45x45x10 см";"конвектор";"220/230 В";"";"";0;"";"";"";"";"";3300;"механическое, регулировка температуры";"";"";"настенный";0;"";"";1000;"нет"
"";4.4;0;"";"";"защита от мороза, отключение при перегреве, влагозащитный корпус";"";"aegwkl-1003-se.jpg";"есть";"";"";"AEG WKL 1003 SE";"45x45x10 см";"конвектор";"220/230 В";"";"";0;"ТЭН";"";"";"";"";3800;"механическое, регулировка температуры";"";"";"настенный";0;"";"";1000;"нет"
"";5.6;0;"";"";"защита от мороза, отключение при перегреве, отключение при опрокидывании, влагозащитный корпус";"";"aegwkl-1503-f.jpg";"есть";"";"";"AEG WKL 1503 F";"59x45x10 см";"конвектор";"220/230 В";"";"колесики";0;"ТЭН";"";"";"";"";0;"регулировка температуры, выключатель со световым индикатором";"";"";"настенный, напольный";15;"60 - 100°С";"";1500;"нет"
